employee,cluster,checkIn,checkOut,hoursWorked,status
Harsh Chauhan,Delhi NCR Cluster,2026-07-17T06:18:00.000Z,2026-07-17T17:18:00.000Z,11,LATE_CHECKIN
Swati Chauhan,Unassigned,2026-07-17T06:16:00.000Z,2026-07-17T14:16:00.000Z,8,LATE_CHECKIN
Varun Malhotra,Gurgaon Solution Cluster,2026-07-17T06:05:00.000Z,2026-07-17T13:05:00.000Z,7,LATE_CHECKIN
Simran Verma,Delhi NCR Cluster,2026-07-17T06:02:00.000Z,2026-07-17T13:02:00.000Z,7,LATE_CHECKIN
Neha Chauhan,Noida Cluster,2026-07-17T05:59:00.000Z,2026-07-17T12:59:00.000Z,7,LATE_CHECKIN
Rahul Gupta,Gurgaon Solution Cluster,2026-07-17T05:50:00.000Z,2026-07-17T14:50:00.000Z,9,LATE_CHECKIN
Vikram Reddy,Unassigned,2026-07-17T05:45:00.000Z,2026-07-17T16:45:00.000Z,11,LATE_CHECKIN
Meera Mehta,Gurgaon Solution Cluster,2026-07-17T05:41:00.000Z,2026-07-17T13:41:00.000Z,8,LATE_CHECKIN
Harsh Chatterjee,Gurgaon Solution Cluster,2026-07-17T05:29:00.000Z,2026-07-17T14:29:00.000Z,9,LATE_CHECKIN
Harsh Saxena,Gurgaon Solution Cluster,2026-07-17T05:19:00.000Z,2026-07-17T14:19:00.000Z,9,LATE_CHECKIN
Prashant Chauhan,Unassigned,2026-07-17T05:18:00.000Z,2026-07-17T12:18:00.000Z,7,LATE_CHECKIN
Ankit Kumar,Noida Cluster,2026-07-17T05:12:00.000Z,2026-07-17T13:12:00.000Z,8,LATE_CHECKIN
Simran Reddy,Noida Cluster,2026-07-17T04:40:00.000Z,2026-07-17T12:40:00.000Z,8,LATE_CHECKIN
Diya Verma,Gurgaon Solution Cluster,2026-07-17T04:28:00.000Z,2026-07-17T12:28:00.000Z,8,ON_TIME
Karan Kapoor,Unassigned,2026-07-17T04:22:00.000Z,2026-07-17T11:22:00.000Z,7,ON_TIME
Varun Pillai,Faridabad Cluster,2026-07-17T04:06:00.000Z,2026-07-17T13:06:00.000Z,9,ON_TIME
Ritu Malhotra,Delhi NCR Cluster,2026-07-17T03:54:00.000Z,,,MISSED_CHECKOUT
Rahul Ghosh,Faridabad Cluster,2026-07-17T03:32:00.000Z,2026-07-17T07:32:00.000Z,4,MISSED_CHECKOUT
Divya Agarwal,Delhi NCR Cluster,2026-07-17T03:31:00.000Z,2026-07-17T11:31:00.000Z,8,ON_TIME
Rahul Ghosh,Noida Cluster,2026-07-16T06:20:00.000Z,2026-07-16T13:20:00.000Z,7,LATE_CHECKIN
Gaurav Pillai,Noida Cluster,2026-07-16T06:13:00.000Z,2026-07-16T15:13:00.000Z,9,LATE_CHECKIN
Varun Pillai,Delhi NCR Cluster,2026-07-16T05:48:00.000Z,2026-07-16T14:48:00.000Z,9,LATE_CHECKIN
Meera Mehta,Noida Cluster,2026-07-16T05:44:00.000Z,2026-07-16T12:44:00.000Z,7,LATE_CHECKIN
Rahul Gupta,Noida Cluster,2026-07-16T05:31:00.000Z,2026-07-16T14:31:00.000Z,9,LATE_CHECKIN
Simran Reddy,Noida Cluster,2026-07-16T05:31:00.000Z,2026-07-16T12:31:00.000Z,7,LATE_CHECKIN
Ankit Kumar,Faridabad Cluster,2026-07-16T05:24:00.000Z,2026-07-16T10:24:00.000Z,5,LATE_CHECKIN
Neha Chauhan,Delhi NCR Cluster,2026-07-16T05:08:00.000Z,2026-07-16T14:08:00.000Z,9,LATE_CHECKIN
Prashant Chauhan,Manesar Cluster,2026-07-16T05:05:00.000Z,2026-07-16T15:05:00.000Z,10,LATE_CHECKIN
Simran Verma,Gurgaon Solution Cluster,2026-07-16T04:50:00.000Z,2026-07-16T13:50:00.000Z,9,LATE_CHECKIN
Divya Agarwal,Delhi NCR Cluster,2026-07-16T04:36:00.000Z,2026-07-16T12:36:00.000Z,8,LATE_CHECKIN
Deepika Iyer,Manesar Cluster,2026-07-16T04:28:00.000Z,2026-07-16T08:28:00.000Z,4,MISSED_CHECKOUT
Diya Verma,Faridabad Cluster,2026-07-16T04:24:00.000Z,2026-07-16T15:24:00.000Z,11,OVERTIME
Swati Tiwari,Noida Cluster,2026-07-16T04:23:00.000Z,2026-07-16T13:23:00.000Z,9,ON_TIME
Shreya Pillai,Faridabad Cluster,2026-07-16T04:10:00.000Z,2026-07-16T09:10:00.000Z,5,MISSED_CHECKOUT
Vikram Reddy,Delhi NCR Cluster,2026-07-16T04:08:00.000Z,2026-07-16T08:08:00.000Z,4,MISSED_CHECKOUT
Ishaan Singh,Delhi NCR Cluster,2026-07-16T03:56:00.000Z,2026-07-16T11:56:00.000Z,8,ON_TIME
Harsh Chauhan,Gurgaon Solution Cluster,2026-07-16T03:56:00.000Z,2026-07-16T11:56:00.000Z,8,ON_TIME
Harsh Saxena,Gurgaon Solution Cluster,2026-07-16T03:35:00.000Z,2026-07-16T08:35:00.000Z,5,MISSED_CHECKOUT
Neha Chauhan,Delhi NCR Cluster,2026-07-15T06:26:00.000Z,2026-07-15T14:26:00.000Z,8,LATE_CHECKIN
Karan Kapoor,Unassigned,2026-07-15T06:23:00.000Z,2026-07-15T13:23:00.000Z,7,LATE_CHECKIN
Divya Agarwal,Faridabad Cluster,2026-07-15T06:14:00.000Z,2026-07-15T13:14:00.000Z,7,LATE_CHECKIN
Harsh Saxena,Faridabad Cluster,2026-07-15T06:13:00.000Z,2026-07-15T14:13:00.000Z,8,LATE_CHECKIN
Simran Reddy,Delhi NCR Cluster,2026-07-15T05:58:00.000Z,2026-07-15T13:58:00.000Z,8,LATE_CHECKIN
Simran Verma,Noida Cluster,2026-07-15T05:57:00.000Z,2026-07-15T12:57:00.000Z,7,LATE_CHECKIN
Vikram Reddy,Noida Cluster,2026-07-15T05:41:00.000Z,,,LATE_CHECKIN
Diya Verma,Delhi NCR Cluster,2026-07-15T05:25:00.000Z,2026-07-15T11:25:00.000Z,6,LATE_CHECKIN
Harsh Chauhan,Unassigned,2026-07-15T05:11:00.000Z,2026-07-15T09:11:00.000Z,4,LATE_CHECKIN
Swati Chauhan,Delhi NCR Cluster,2026-07-15T05:07:00.000Z,2026-07-15T14:07:00.000Z,9,LATE_CHECKIN
Meera Mehta,Delhi NCR Cluster,2026-07-15T04:42:00.000Z,2026-07-15T09:42:00.000Z,5,LATE_CHECKIN
Deepika Iyer,Unassigned,2026-07-15T04:40:00.000Z,2026-07-15T12:40:00.000Z,8,LATE_CHECKIN
Rahul Gupta,Unassigned,2026-07-15T04:35:00.000Z,2026-07-15T14:35:00.000Z,10,LATE_CHECKIN
Varun Malhotra,Gurgaon Solution Cluster,2026-07-15T04:30:00.000Z,2026-07-15T14:30:00.000Z,10,LATE_CHECKIN
Ishaan Singh,Gurgaon Solution Cluster,2026-07-15T04:18:00.000Z,,,MISSED_CHECKOUT
Shreya Pillai,Delhi NCR Cluster,2026-07-15T04:14:00.000Z,2026-07-15T14:14:00.000Z,10,OVERTIME
Ritu Malhotra,Faridabad Cluster,2026-07-15T04:03:00.000Z,2026-07-15T12:03:00.000Z,8,ON_TIME
Harsh Chatterjee,Faridabad Cluster,2026-07-15T03:59:00.000Z,2026-07-15T11:59:00.000Z,8,ON_TIME
Swati Ghosh,Delhi NCR Cluster,2026-07-15T03:58:00.000Z,,,MISSED_CHECKOUT
Ankit Kumar,Unassigned,2026-07-15T03:53:00.000Z,2026-07-15T12:53:00.000Z,9,ON_TIME
Swati Tiwari,Delhi NCR Cluster,2026-07-15T03:49:00.000Z,2026-07-15T10:49:00.000Z,7,ON_TIME
Gaurav Pillai,Delhi NCR Cluster,2026-07-15T03:41:00.000Z,2026-07-15T09:41:00.000Z,6,MISSED_CHECKOUT
Prashant Chauhan,Faridabad Cluster,2026-07-15T03:41:00.000Z,,,MISSED_CHECKOUT
Varun Pillai,Gurgaon Solution Cluster,2026-07-15T03:38:00.000Z,2026-07-15T11:38:00.000Z,8,ON_TIME
Rahul Ghosh,Delhi NCR Cluster,2026-07-15T03:35:00.000Z,2026-07-15T11:35:00.000Z,8,ON_TIME
Neha Chauhan,Gurgaon Solution Cluster,2026-07-14T06:27:00.000Z,2026-07-14T16:27:00.000Z,10,LATE_CHECKIN
Simran Reddy,Delhi NCR Cluster,2026-07-14T06:21:00.000Z,2026-07-14T13:21:00.000Z,7,LATE_CHECKIN
Swati Chauhan,Faridabad Cluster,2026-07-14T06:19:00.000Z,2026-07-14T12:19:00.000Z,6,LATE_CHECKIN
Harsh Chauhan,Delhi NCR Cluster,2026-07-14T06:13:00.000Z,2026-07-14T16:13:00.000Z,10,LATE_CHECKIN
Shreya Pillai,Noida Cluster,2026-07-14T06:07:00.000Z,2026-07-14T10:07:00.000Z,4,LATE_CHECKIN
Rahul Ghosh,Delhi NCR Cluster,2026-07-14T06:06:00.000Z,2026-07-14T14:06:00.000Z,8,LATE_CHECKIN
Deepika Iyer,Noida Cluster,2026-07-14T06:04:00.000Z,2026-07-14T10:04:00.000Z,4,LATE_CHECKIN
Divya Agarwal,Unassigned,2026-07-14T05:58:00.000Z,2026-07-14T17:58:00.000Z,12,LATE_CHECKIN
Harsh Chatterjee,Noida Cluster,2026-07-14T05:43:00.000Z,2026-07-14T14:43:00.000Z,9,LATE_CHECKIN
Ankit Kumar,Faridabad Cluster,2026-07-14T05:39:00.000Z,2026-07-14T17:39:00.000Z,12,LATE_CHECKIN
Rahul Gupta,Noida Cluster,2026-07-14T05:34:00.000Z,2026-07-14T14:34:00.000Z,9,LATE_CHECKIN
Swati Tiwari,Delhi NCR Cluster,2026-07-14T05:22:00.000Z,2026-07-14T10:22:00.000Z,5,LATE_CHECKIN
Karan Kapoor,Delhi NCR Cluster,2026-07-14T05:17:00.000Z,2026-07-14T13:17:00.000Z,8,LATE_CHECKIN
Varun Pillai,Manesar Cluster,2026-07-14T05:09:00.000Z,2026-07-14T13:09:00.000Z,8,LATE_CHECKIN
Vikram Reddy,Manesar Cluster,2026-07-14T04:50:00.000Z,2026-07-14T08:50:00.000Z,4,LATE_CHECKIN
Ritu Malhotra,Delhi NCR Cluster,2026-07-14T04:25:00.000Z,2026-07-14T12:25:00.000Z,8,ON_TIME
Varun Malhotra,Gurgaon Solution Cluster,2026-07-14T03:53:00.000Z,2026-07-14T12:53:00.000Z,9,ON_TIME
Simran Verma,Manesar Cluster,2026-07-14T03:51:00.000Z,2026-07-14T11:51:00.000Z,8,ON_TIME
Meera Mehta,Faridabad Cluster,2026-07-14T03:47:00.000Z,2026-07-14T14:47:00.000Z,11,OVERTIME
Prashant Chauhan,Noida Cluster,2026-07-14T03:45:00.000Z,2026-07-14T09:45:00.000Z,6,MISSED_CHECKOUT
Diya Verma,Gurgaon Solution Cluster,2026-07-14T03:36:00.000Z,2026-07-14T10:36:00.000Z,7,ON_TIME
Ishaan Singh,Noida Cluster,2026-07-14T03:30:00.000Z,2026-07-14T11:30:00.000Z,8,ON_TIME
Vikram Reddy,Unassigned,2026-07-13T06:17:00.000Z,2026-07-13T15:17:00.000Z,9,LATE_CHECKIN
Rahul Ghosh,Faridabad Cluster,2026-07-13T06:05:00.000Z,2026-07-13T16:05:00.000Z,10,LATE_CHECKIN
Swati Chauhan,Manesar Cluster,2026-07-13T06:04:00.000Z,2026-07-13T18:04:00.000Z,12,LATE_CHECKIN
Swati Tiwari,Manesar Cluster,2026-07-13T06:01:00.000Z,2026-07-13T11:01:00.000Z,5,LATE_CHECKIN
Neha Chauhan,Delhi NCR Cluster,2026-07-13T05:56:00.000Z,2026-07-13T15:56:00.000Z,10,LATE_CHECKIN
Harsh Chauhan,Manesar Cluster,2026-07-13T05:38:00.000Z,,,LATE_CHECKIN
Ishaan Singh,Manesar Cluster,2026-07-13T05:37:00.000Z,2026-07-13T10:37:00.000Z,5,LATE_CHECKIN
Karan Kapoor,Gurgaon Solution Cluster,2026-07-13T05:28:00.000Z,2026-07-13T14:28:00.000Z,9,LATE_CHECKIN
Simran Reddy,Faridabad Cluster,2026-07-13T05:11:00.000Z,2026-07-13T13:11:00.000Z,8,LATE_CHECKIN
Divya Agarwal,Noida Cluster,2026-07-13T05:03:00.000Z,2026-07-13T12:03:00.000Z,7,LATE_CHECKIN
Harsh Saxena,Unassigned,2026-07-13T05:01:00.000Z,2026-07-13T13:01:00.000Z,8,LATE_CHECKIN
Varun Malhotra,Unassigned,2026-07-13T04:52:00.000Z,2026-07-13T13:52:00.000Z,9,LATE_CHECKIN
Deepika Iyer,Delhi NCR Cluster,2026-07-13T04:45:00.000Z,2026-07-13T16:45:00.000Z,12,LATE_CHECKIN
Gaurav Pillai,Unassigned,2026-07-13T04:43:00.000Z,2026-07-13T13:43:00.000Z,9,LATE_CHECKIN
Rahul Gupta,Manesar Cluster,2026-07-13T04:26:00.000Z,2026-07-13T12:26:00.000Z,8,ON_TIME
Swati Ghosh,Noida Cluster,2026-07-13T04:10:00.000Z,2026-07-13T15:10:00.000Z,11,OVERTIME
Ankit Kumar,Manesar Cluster,2026-07-13T04:02:00.000Z,2026-07-13T11:02:00.000Z,7,ON_TIME
Diya Verma,Delhi NCR Cluster,2026-07-13T04:00:00.000Z,2026-07-13T12:00:00.000Z,8,ON_TIME
Simran Verma,Delhi NCR Cluster,2026-07-13T03:51:00.000Z,2026-07-13T12:51:00.000Z,9,ON_TIME
Meera Mehta,Unassigned,2026-07-13T03:47:00.000Z,2026-07-13T10:47:00.000Z,7,ON_TIME
Harsh Chatterjee,Faridabad Cluster,2026-07-13T03:43:00.000Z,2026-07-13T11:43:00.000Z,8,ON_TIME
Varun Pillai,Noida Cluster,2026-07-13T03:42:00.000Z,2026-07-13T11:42:00.000Z,8,ON_TIME
Meera Mehta,Noida Cluster,2026-07-12T06:24:00.000Z,2026-07-12T14:24:00.000Z,8,LATE_CHECKIN
Neha Chauhan,Noida Cluster,2026-07-12T06:22:00.000Z,2026-07-12T10:22:00.000Z,4,LATE_CHECKIN
Divya Agarwal,Gurgaon Solution Cluster,2026-07-12T06:17:00.000Z,,,LATE_CHECKIN
Varun Pillai,Noida Cluster,2026-07-12T06:07:00.000Z,2026-07-12T13:07:00.000Z,7,LATE_CHECKIN
Ishaan Singh,Faridabad Cluster,2026-07-12T05:57:00.000Z,2026-07-12T14:57:00.000Z,9,LATE_CHECKIN
Deepika Iyer,Manesar Cluster,2026-07-12T05:51:00.000Z,,,LATE_CHECKIN
Simran Reddy,Noida Cluster,2026-07-12T05:45:00.000Z,2026-07-12T17:45:00.000Z,12,LATE_CHECKIN
Simran Verma,Manesar Cluster,2026-07-12T05:35:00.000Z,2026-07-12T12:35:00.000Z,7,LATE_CHECKIN
Harsh Saxena,Unassigned,2026-07-12T05:33:00.000Z,2026-07-12T16:33:00.000Z,11,LATE_CHECKIN
Shreya Pillai,Noida Cluster,2026-07-12T05:32:00.000Z,2026-07-12T13:32:00.000Z,8,LATE_CHECKIN
Karan Kapoor,Faridabad Cluster,2026-07-12T05:08:00.000Z,2026-07-12T16:08:00.000Z,11,LATE_CHECKIN
Varun Malhotra,Gurgaon Solution Cluster,2026-07-12T05:00:00.000Z,2026-07-12T14:00:00.000Z,9,LATE_CHECKIN
Ankit Kumar,Noida Cluster,2026-07-12T04:58:00.000Z,2026-07-12T12:58:00.000Z,8,LATE_CHECKIN
Swati Ghosh,Gurgaon Solution Cluster,2026-07-12T04:42:00.000Z,2026-07-12T12:42:00.000Z,8,LATE_CHECKIN
Harsh Chatterjee,Manesar Cluster,2026-07-12T04:34:00.000Z,2026-07-12T14:34:00.000Z,10,LATE_CHECKIN
Harsh Chauhan,Manesar Cluster,2026-07-12T04:30:00.000Z,2026-07-12T14:30:00.000Z,10,LATE_CHECKIN
Swati Chauhan,Delhi NCR Cluster,2026-07-12T04:17:00.000Z,2026-07-12T08:17:00.000Z,4,MISSED_CHECKOUT
Prashant Chauhan,Manesar Cluster,2026-07-12T04:11:00.000Z,2026-07-12T11:11:00.000Z,7,ON_TIME
Vikram Reddy,Gurgaon Solution Cluster,2026-07-12T04:08:00.000Z,2026-07-12T13:08:00.000Z,9,ON_TIME
Rahul Gupta,Manesar Cluster,2026-07-12T03:57:00.000Z,2026-07-12T10:57:00.000Z,7,ON_TIME
Ritu Malhotra,Delhi NCR Cluster,2026-07-12T03:38:00.000Z,2026-07-12T08:38:00.000Z,5,MISSED_CHECKOUT
Simran Reddy,Gurgaon Solution Cluster,2026-07-11T06:04:00.000Z,2026-07-11T14:04:00.000Z,8,LATE_CHECKIN
Ankit Kumar,Unassigned,2026-07-11T06:03:00.000Z,2026-07-11T16:03:00.000Z,10,LATE_CHECKIN
Meera Mehta,Noida Cluster,2026-07-11T05:59:00.000Z,2026-07-11T12:59:00.000Z,7,LATE_CHECKIN
Swati Chauhan,Faridabad Cluster,2026-07-11T05:57:00.000Z,2026-07-11T11:57:00.000Z,6,LATE_CHECKIN
Rahul Gupta,Gurgaon Solution Cluster,2026-07-11T05:29:00.000Z,2026-07-11T11:29:00.000Z,6,LATE_CHECKIN
Shreya Pillai,Faridabad Cluster,2026-07-11T05:27:00.000Z,,,LATE_CHECKIN
Prashant Chauhan,Delhi NCR Cluster,2026-07-11T05:13:00.000Z,2026-07-11T12:13:00.000Z,7,LATE_CHECKIN
Swati Tiwari,Noida Cluster,2026-07-11T05:08:00.000Z,,,LATE_CHECKIN
Harsh Chatterjee,Delhi NCR Cluster,2026-07-11T05:04:00.000Z,2026-07-11T09:04:00.000Z,4,LATE_CHECKIN
Gaurav Pillai,Gurgaon Solution Cluster,2026-07-11T04:35:00.000Z,2026-07-11T14:35:00.000Z,10,LATE_CHECKIN
Neha Chauhan,Faridabad Cluster,2026-07-11T04:32:00.000Z,2026-07-11T11:32:00.000Z,7,LATE_CHECKIN
Harsh Chauhan,Manesar Cluster,2026-07-11T04:31:00.000Z,,,LATE_CHECKIN
Vikram Reddy,Faridabad Cluster,2026-07-11T04:30:00.000Z,,,LATE_CHECKIN
Rahul Ghosh,Noida Cluster,2026-07-11T04:29:00.000Z,2026-07-11T11:29:00.000Z,7,ON_TIME
Varun Malhotra,Noida Cluster,2026-07-11T04:26:00.000Z,2026-07-11T12:26:00.000Z,8,ON_TIME
Simran Verma,Gurgaon Solution Cluster,2026-07-11T04:14:00.000Z,2026-07-11T11:14:00.000Z,7,ON_TIME
Varun Pillai,Faridabad Cluster,2026-07-11T04:04:00.000Z,2026-07-11T13:04:00.000Z,9,ON_TIME
Ishaan Singh,Unassigned,2026-07-11T03:59:00.000Z,2026-07-11T09:59:00.000Z,6,MISSED_CHECKOUT
Deepika Iyer,Manesar Cluster,2026-07-11T03:51:00.000Z,2026-07-11T11:51:00.000Z,8,ON_TIME
Harsh Saxena,Unassigned,2026-07-11T03:35:00.000Z,2026-07-11T08:35:00.000Z,5,MISSED_CHECKOUT
Rahul Gupta,Gurgaon Solution Cluster,2026-07-10T06:24:00.000Z,2026-07-10T15:24:00.000Z,9,LATE_CHECKIN
Prashant Chauhan,Manesar Cluster,2026-07-10T06:15:00.000Z,,,LATE_CHECKIN
Swati Chauhan,Gurgaon Solution Cluster,2026-07-10T06:07:00.000Z,2026-07-10T15:07:00.000Z,9,LATE_CHECKIN
Karan Kapoor,Noida Cluster,2026-07-10T06:07:00.000Z,2026-07-10T16:07:00.000Z,10,LATE_CHECKIN
Varun Pillai,Unassigned,2026-07-10T05:52:00.000Z,2026-07-10T16:52:00.000Z,11,LATE_CHECKIN
Divya Agarwal,Unassigned,2026-07-10T05:51:00.000Z,2026-07-10T14:51:00.000Z,9,LATE_CHECKIN
Neha Chauhan,Manesar Cluster,2026-07-10T05:34:00.000Z,,,LATE_CHECKIN
Ishaan Singh,Manesar Cluster,2026-07-10T05:18:00.000Z,2026-07-10T17:18:00.000Z,12,LATE_CHECKIN
Simran Reddy,Faridabad Cluster,2026-07-10T05:17:00.000Z,2026-07-10T16:17:00.000Z,11,LATE_CHECKIN
Swati Tiwari,Unassigned,2026-07-10T05:17:00.000Z,2026-07-10T13:17:00.000Z,8,LATE_CHECKIN
Gaurav Pillai,Manesar Cluster,2026-07-10T04:56:00.000Z,,,LATE_CHECKIN
Vikram Reddy,Unassigned,2026-07-10T04:36:00.000Z,2026-07-10T09:36:00.000Z,5,LATE_CHECKIN
Diya Verma,Unassigned,2026-07-10T04:13:00.000Z,2026-07-10T14:13:00.000Z,10,OVERTIME
Simran Verma,Gurgaon Solution Cluster,2026-07-10T04:03:00.000Z,2026-07-10T15:03:00.000Z,11,OVERTIME
Harsh Chatterjee,Unassigned,2026-07-10T03:42:00.000Z,2026-07-10T15:42:00.000Z,12,OVERTIME
Harsh Saxena,Faridabad Cluster,2026-07-10T03:41:00.000Z,2026-07-10T11:41:00.000Z,8,ON_TIME
Swati Ghosh,Noida Cluster,2026-07-09T06:05:00.000Z,2026-07-09T13:05:00.000Z,7,LATE_CHECKIN
Diya Verma,Unassigned,2026-07-09T05:46:00.000Z,2026-07-09T17:46:00.000Z,12,LATE_CHECKIN
Swati Chauhan,Manesar Cluster,2026-07-09T05:46:00.000Z,2026-07-09T13:46:00.000Z,8,LATE_CHECKIN
Deepika Iyer,Noida Cluster,2026-07-09T05:42:00.000Z,2026-07-09T13:42:00.000Z,8,LATE_CHECKIN
Swati Tiwari,Noida Cluster,2026-07-09T05:27:00.000Z,2026-07-09T12:27:00.000Z,7,LATE_CHECKIN
Harsh Saxena,Faridabad Cluster,2026-07-09T05:24:00.000Z,2026-07-09T14:24:00.000Z,9,LATE_CHECKIN
Divya Agarwal,Unassigned,2026-07-09T05:24:00.000Z,2026-07-09T13:24:00.000Z,8,LATE_CHECKIN
Gaurav Pillai,Manesar Cluster,2026-07-09T05:20:00.000Z,2026-07-09T13:20:00.000Z,8,LATE_CHECKIN
Simran Verma,Noida Cluster,2026-07-09T05:08:00.000Z,2026-07-09T12:08:00.000Z,7,LATE_CHECKIN
Harsh Chauhan,Delhi NCR Cluster,2026-07-09T05:07:00.000Z,2026-07-09T13:07:00.000Z,8,LATE_CHECKIN
Varun Pillai,Faridabad Cluster,2026-07-09T05:01:00.000Z,2026-07-09T14:01:00.000Z,9,LATE_CHECKIN
Rahul Ghosh,Gurgaon Solution Cluster,2026-07-09T04:54:00.000Z,,,LATE_CHECKIN
Varun Malhotra,Unassigned,2026-07-09T04:52:00.000Z,2026-07-09T15:52:00.000Z,11,LATE_CHECKIN
Vikram Reddy,Delhi NCR Cluster,2026-07-09T04:47:00.000Z,2026-07-09T14:47:00.000Z,10,LATE_CHECKIN
Simran Reddy,Noida Cluster,2026-07-09T04:39:00.000Z,2026-07-09T13:39:00.000Z,9,LATE_CHECKIN
Prashant Chauhan,Unassigned,2026-07-09T04:37:00.000Z,2026-07-09T13:37:00.000Z,9,LATE_CHECKIN
Karan Kapoor,Delhi NCR Cluster,2026-07-09T04:34:00.000Z,,,LATE_CHECKIN
Ishaan Singh,Faridabad Cluster,2026-07-09T04:27:00.000Z,2026-07-09T13:27:00.000Z,9,ON_TIME
Meera Mehta,Delhi NCR Cluster,2026-07-09T04:01:00.000Z,2026-07-09T13:01:00.000Z,9,ON_TIME
Shreya Pillai,Faridabad Cluster,2026-07-09T03:54:00.000Z,2026-07-09T12:54:00.000Z,9,ON_TIME
Harsh Chatterjee,Faridabad Cluster,2026-07-09T03:44:00.000Z,2026-07-09T12:44:00.000Z,9,ON_TIME
Ritu Malhotra,Gurgaon Solution Cluster,2026-07-09T03:44:00.000Z,2026-07-09T08:44:00.000Z,5,MISSED_CHECKOUT
Rahul Gupta,Manesar Cluster,2026-07-09T03:44:00.000Z,2026-07-09T11:44:00.000Z,8,ON_TIME
Ankit Kumar,Faridabad Cluster,2026-07-09T03:32:00.000Z,2026-07-09T11:32:00.000Z,8,ON_TIME
Diya Verma,Faridabad Cluster,2026-07-08T06:26:00.000Z,2026-07-08T13:26:00.000Z,7,LATE_CHECKIN
Rahul Gupta,Faridabad Cluster,2026-07-08T06:24:00.000Z,2026-07-08T16:24:00.000Z,10,LATE_CHECKIN
Simran Verma,Noida Cluster,2026-07-08T06:13:00.000Z,,,LATE_CHECKIN
Divya Agarwal,Noida Cluster,2026-07-08T05:48:00.000Z,2026-07-08T09:48:00.000Z,4,LATE_CHECKIN
Harsh Saxena,Gurgaon Solution Cluster,2026-07-08T05:47:00.000Z,2026-07-08T14:47:00.000Z,9,LATE_CHECKIN
Karan Kapoor,Faridabad Cluster,2026-07-08T05:35:00.000Z,2026-07-08T13:35:00.000Z,8,LATE_CHECKIN
Deepika Iyer,Gurgaon Solution Cluster,2026-07-08T05:33:00.000Z,2026-07-08T13:33:00.000Z,8,LATE_CHECKIN
